"SOLICITUDORIGINAL";"N_ORDEN_DISTRIBU";"SOLICITUD";"FECHA_CREACION_ORDEN";"ORIGEN";"CANCELADO"
"111075006";"118597917";111075006;"15-04-2017 01:00:34";"20";"No Cancelado"
"111086427";"118597942";111086427;"15-04-2017 01:00:35";"20";"No Cancelado"
"111108973";"118597951";111108973;"15-04-2017 01:00:36";"88";"No Cancelado"
"111093864";"118597956";111093864;"15-04-2017 01:00:36";"37";"No Cancelado"
"111076304";"118597904";111076304;"15-04-2017 01:00:34";"22";"No Cancelado"
"111077634";"118597940";111077634;"15-04-2017 01:00:35";"37";"No Cancelado"
"111089445";"118597954";111089445;"15-04-2017 01:00:36";"37";"No Cancelado"
"111147302";"118598415";111147302;"15-04-2017 12:00:14";"24374";"No Cancelado"
"111147264";"118598423";111147264;"15-04-2017 12:00:14";"32644";"No Cancelado"
"111146553";"118598249";111146553;"15-04-2017 07:00:15";"32644";"No Cancelado"
"111109509";"118597958";111109509;"15-04-2017 01:00:36";"88";"No Cancelado"
"111083807";"118597926";111083807;"15-04-2017 01:00:35";"20";"No Cancelado"
"111079700";"118597916";111079700;"15-04-2017 01:00:34";"115";"No Cancelado"
"111079637";"118597925";111079637;"15-04-2017 01:00:35";"123";"No Cancelado"
"111080665";"118597957";111080665;"15-04-2017 01:00:36";"106";"No Cancelado"
"111146882";"118598289";111146882;"15-04-2017 08:00:24";"24440";"No Cancelado"
"111076877";"118597907";111076877;"15-04-2017 01:00:34";"64";"No Cancelado"
"111087212";"118597947";111087212;"15-04-2017 01:00:36";"89";"No Cancelado"
"111147170";"118598387";111147170;"15-04-2017 11:00:27";"34305";"No Cancelado"
"111147389";"118598419";111147389;"15-04-2017 12:00:14";"24374";"No Cancelado"
"111147137";"118598385";111147137;"15-04-2017 11:00:27";"34305";"No Cancelado"
"111080075";"118597924";111080075;"15-04-2017 01:00:35";"20";"No Cancelado"
"111147334";"118598432";111147334;"15-04-2017 12:00:14";"24440";"No Cancelado"
"111146589";"118598358";111146589;"15-04-2017 10:00:18";"24440";"No Cancelado"
"111074971";"118597938";111074971;"15-04-2017 01:00:35";"89";"No Cancelado"
"111147346";"118598416";111147346;"15-04-2017 12:00:14";"27257";"No Cancelado"
