"SOLICITUDORIGINAL";"N_ORDEN_DISTRIBU";"SOLICITUD";"FECHA_CREACION_ORDEN";"ORIGEN";"CANCELADO"
"111109047";"118565464";111109047;"13-04-2017 07:00:16";"24374";"No Cancelado"
"111139751";"118591125";111139751;"13-04-2017 18:00:26";"30175";"No Cancelado"
"111109988";"118565473";111109988;"13-04-2017 07:00:16";"24440";"No Cancelado"
"111111510";"118591086";111111510;"13-04-2017 17:51:30";"89";"No Cancelado"
"111110512";"118565480";111110512;"13-04-2017 07:00:16";"24440";"No Cancelado"
"111110403";"118565466";111110403;"13-04-2017 07:00:16";"32644";"No Cancelado"
"111110430";"118565467";111110430;"13-04-2017 07:00:16";"24440";"No Cancelado"
"111113766";"118565930";111113766;"13-04-2017 10:00:28";"34305";"No Cancelado"
"111112768";"118565920";111112768;"13-04-2017 10:00:27";"23825";"No Cancelado"
"111110641";"118565478";111110641;"13-04-2017 07:00:16";"32484";"No Cancelado"
"111113677";"118565935";111113677;"13-04-2017 10:00:28";"34803";"No Cancelado"
"111110466";"118565475";111110466;"13-04-2017 07:00:16";"32644";"No Cancelado"
"111112488";"118565917";111112488;"13-04-2017 10:00:27";"29750";"No Cancelado"
"111110893";"118565477";111110893;"13-04-2017 07:00:16";"24374";"No Cancelado"
"111108354";"118565479";111108354;"13-04-2017 07:00:16";"24440";"No Cancelado"
"111110378";"118565461";111110378;"13-04-2017 07:00:16";"32420";"No Cancelado"
"111110671";"118565469";111110671;"13-04-2017 07:00:16";"24374";"No Cancelado"
"111110162";"118565476";111110162;"13-04-2017 07:00:16";"32014";"No Cancelado"
"111091826";"118592768";111091826;"13-04-2017 19:14:05";"25";"No Cancelado"
"111111921";"118565942";111111921;"13-04-2017 10:00:28";"22593";"No Cancelado"
"111109596";"118565471";111109596;"13-04-2017 07:00:16";"34952";"No Cancelado"
"111108958";"118565462";111108958;"13-04-2017 07:00:16";"25044";"No Cancelado"
"111110565";"118565468";111110565;"13-04-2017 07:00:16";"24440";"No Cancelado"
"111108917";"118565463";111108917;"13-04-2017 07:00:16";"24440";"No Cancelado"
"111113277";"118565939";111113277;"13-04-2017 10:00:28";"32437";"No Cancelado"
"111110556";"118565470";111110556;"13-04-2017 07:00:16";"24374";"No Cancelado"
"111111912";"118565915";111111912;"13-04-2017 10:00:27";"29750";"No Cancelado"
"111109372";"118565465";111109372;"13-04-2017 07:00:16";"32644";"No Cancelado"
"111111659";"118565925";111111659;"13-04-2017 10:00:28";"23825";"No Cancelado"
"111111852";"118565940";111111852;"13-04-2017 10:00:28";"21588";"No Cancelado"
"111110451";"118565472";111110451;"13-04-2017 07:00:16";"24374";"No Cancelado"
"111109514";"118565474";111109514;"13-04-2017 07:00:16";"21367";"No Cancelado"
"111111596";"118565934";111111596;"13-04-2017 10:00:28";"24641";"No Cancelado"
"111111076";"118565944";111111076;"13-04-2017 10:00:28";"34772";"No Cancelado"
"111139740";"118591065";111139740;"13-04-2017 17:34:36";"32644";"No Cancelado"
"111111994";"118565913";111111994;"13-04-2017 10:00:27";"24641";"No Cancelado"
"111111385";"118565926";111111385;"13-04-2017 10:00:28";"23825";"No Cancelado"
"111113731";"118565928";111113731;"13-04-2017 10:00:28";"21914";"No Cancelado"
"111112462";"118565932";111112462;"13-04-2017 10:00:28";"23825";"No Cancelado"
"111112442";"118565936";111112442;"13-04-2017 10:00:28";"31226";"No Cancelado"
"111120493";"118567371";111120493;"13-04-2017 11:01:04";"34160";"No Cancelado"
"20170413003293788507";"118567367";111120839;"13-04-2017 11:01:04";"24145";"No Cancelado"
"111112342";"118565922";111112342;"13-04-2017 10:00:27";"21607";"No Cancelado"
"111113709";"118565919";111113709;"13-04-2017 10:00:27";"21607";"No Cancelado"
"111112160";"118565937";111112160;"13-04-2017 10:00:28";"22593";"No Cancelado"
"111113678";"118565938";111113678;"13-04-2017 10:00:28";"23825";"No Cancelado"
"111119664";"118567365";111119664;"13-04-2017 11:01:04";"32484";"No Cancelado"
"111113042";"118565912";111113042;"13-04-2017 10:00:27";"34803";"No Cancelado"
"111113776";"118565916";111113776;"13-04-2017 10:00:27";"32664";"No Cancelado"
"111111239";"118565921";111111239;"13-04-2017 10:00:27";"32681";"No Cancelado"
"111112930";"118565924";111112930;"13-04-2017 10:00:27";"24641";"No Cancelado"
"111111911";"118565945";111111911;"13-04-2017 10:00:28";"34444";"No Cancelado"
"111113030";"118565943";111113030;"13-04-2017 10:00:28";"24374";"No Cancelado"
"111112627";"118565927";111112627;"13-04-2017 10:00:28";"32681";"No Cancelado"
"111111672";"118565941";111111672;"13-04-2017 10:00:28";"29750";"No Cancelado"
"111111169";"118565933";111111169;"13-04-2017 10:00:28";"23825";"No Cancelado"
