"SOLICITUDORIGINAL";"N_ORDEN_DISTRIBU";"SOLICITUD";"FECHA_CREACION_ORDEN";"ORIGEN";"CANCELADO"
"20160609000101136574";"118595750";111144317;"14-04-2017 06:00:34";"28959";"No Cancelado"
"20170413003293797927";"118595752";111143118;"14-04-2017 07:00:10";"32644";"No Cancelado"
"111081422";"118595816";111081422;"14-04-2017 07:12:22";"64";"No Cancelado"
"111103687";"118595822";111103687;"14-04-2017 07:13:07";"64";"No Cancelado"
"111079571";"118595846";111079571;"14-04-2017 08:42:05";"9";"No Cancelado"
"111143378";"118595829";111143378;"14-04-2017 08:00:22";"34305";"No Cancelado"
"111103217";"118595856";111103217;"14-04-2017 08:42:55";"37";"No Cancelado"
"111088778";"118595842";111088778;"14-04-2017 08:41:44";"102";"No Cancelado"
"111095515";"118595821";111095515;"14-04-2017 07:13:02";"64";"No Cancelado"
"111079693";"118595858";111079693;"14-04-2017 08:43:05";"37";"No Cancelado"
"111087504";"118595812";111087504;"14-04-2017 07:12:02";"9";"No Cancelado"
"111095373";"118595818";111095373;"14-04-2017 07:12:37";"64";"No Cancelado"
"111076532";"118595863";111076532;"14-04-2017 08:44:15";"23";"No Cancelado"
"111089615";"118595813";111089615;"14-04-2017 07:12:07";"9";"No Cancelado"
"111084608";"118595823";111084608;"14-04-2017 07:13:12";"64";"No Cancelado"
"111109283";"118595874";111109283;"14-04-2017 08:45:15";"1";"No Cancelado"
"111086421";"118595878";111086421;"14-04-2017 08:45:35";"106";"No Cancelado"
"111128258";"118595867";111128258;"14-04-2017 08:44:40";"10";"No Cancelado"
"111095319";"118595871";111095319;"14-04-2017 08:45:00";"1";"No Cancelado"
"111094087";"118595869";111094087;"14-04-2017 08:44:50";"1";"No Cancelado"
"111077941";"118595864";111077941;"14-04-2017 08:44:20";"23";"No Cancelado"
"111076877";"118595815";111076877;"14-04-2017 07:12:17";"64";"No Cancelado"
"111075290";"118595820";111075290;"14-04-2017 07:12:57";"64";"No Cancelado"
"111077568";"118595824";111077568;"14-04-2017 07:13:17";"64";"No Cancelado"
"111088827";"118595817";111088827;"14-04-2017 07:12:32";"64";"No Cancelado"
"111095519";"118595875";111095519;"14-04-2017 08:45:20";"1";"No Cancelado"
"111094282";"118595880";111094282;"14-04-2017 08:45:45";"106";"No Cancelado"
"111100262";"118595819";111100262;"14-04-2017 07:12:42";"64";"No Cancelado"
"111087899";"118595933";111087899;"14-04-2017 08:54:49";"20";"No Cancelado"
"111075498";"118595924";111075498;"14-04-2017 08:54:04";"115";"No Cancelado"
"111083678";"118595930";111083678;"14-04-2017 08:54:34";"20";"No Cancelado"
"111143403";"118595826";111143403;"14-04-2017 08:00:22";"23825";"No Cancelado"
"111143286";"118595828";111143286;"14-04-2017 08:00:22";"34803";"No Cancelado"
"111143320";"118595825";111143320;"14-04-2017 08:00:22";"30175";"No Cancelado"
"111079191";"118595814";111079191;"14-04-2017 07:12:12";"9";"No Cancelado"
"111075411";"118595923";111075411;"14-04-2017 08:53:59";"115";"No Cancelado"
"111091839";"118595934";111091839;"14-04-2017 08:54:54";"20";"No Cancelado"
"111109194";"118595921";111109194;"14-04-2017 08:53:49";"115";"No Cancelado"
"111143286";"118595830";111143286;"14-04-2017 08:00:22";"24549";"No Cancelado"
"111087447";"118595844";111087447;"14-04-2017 08:41:55";"9";"No Cancelado"
"111089436";"118595838";111089436;"14-04-2017 08:41:24";"102";"No Cancelado"
"111075280";"118595931";111075280;"14-04-2017 08:54:39";"115";"No Cancelado"
"111095854";"118595939";111095854;"14-04-2017 08:55:19";"20";"No Cancelado"
"111113011";"118595940";111113011;"14-04-2017 08:55:24";"20";"No Cancelado"
"111086637";"118595929";111086637;"14-04-2017 08:54:29";"20";"No Cancelado"
"111089444";"118595855";111089444;"14-04-2017 08:42:50";"37";"No Cancelado"
"111088727";"118595912";111088727;"14-04-2017 08:53:03";"115";"No Cancelado"
"111081469";"118595837";111081469;"14-04-2017 08:41:20";"102";"No Cancelado"
"111100266";"118595852";111100266;"14-04-2017 08:42:35";"64";"No Cancelado"
"111084763";"118595847";111084763;"14-04-2017 08:42:10";"64";"No Cancelado"
"111103074";"118595850";111103074;"14-04-2017 08:42:25";"64";"No Cancelado"
"111088359";"118595848";111088359;"14-04-2017 08:42:15";"64";"No Cancelado"
"111102938";"118595851";111102938;"14-04-2017 08:42:30";"64";"No Cancelado"
"111093919";"118595914";111093919;"14-04-2017 08:53:14";"115";"No Cancelado"
"111111467";"118595908";111111467;"14-04-2017 08:52:18";"89";"No Cancelado"
"111094339";"118595935";111094339;"14-04-2017 08:54:59";"20";"No Cancelado"
"111109253";"118595937";111109253;"14-04-2017 08:55:09";"20";"No Cancelado"
"111083695";"118595861";111083695;"14-04-2017 08:44:00";"23";"No Cancelado"
"111109897";"118595938";111109897;"14-04-2017 08:55:14";"20";"No Cancelado"
"111095703";"118595918";111095703;"14-04-2017 08:53:34";"115";"No Cancelado"
"111103033";"118596086";111103033;"14-04-2017 10:33:10";"64";"No Cancelado"
"111092791";"118595915";111092791;"14-04-2017 08:53:19";"115";"No Cancelado"
"111104863";"118595859";111104863;"14-04-2017 08:43:10";"37";"No Cancelado"
"111093353";"118595862";111093353;"14-04-2017 08:44:10";"23";"No Cancelado"
"111093138";"118595917";111093138;"14-04-2017 08:53:29";"115";"No Cancelado"
"111080090";"118595879";111080090;"14-04-2017 08:45:40";"106";"No Cancelado"
"111097207";"118595899";111097207;"14-04-2017 08:51:33";"89";"No Cancelado"
"111112999";"118595903";111112999;"14-04-2017 08:51:53";"89";"No Cancelado"
"111075297";"118595926";111075297;"14-04-2017 08:54:14";"115";"No Cancelado"
"111076538";"118595944";111076538;"14-04-2017 08:55:44";"20";"No Cancelado"
"20170412003293760175";"118595943";111078082;"14-04-2017 08:55:39";"20";"No Cancelado"
"20170412003293772187";"118595932";111091500;"14-04-2017 08:54:44";"20";"No Cancelado"
"111094260";"118595950";111094260;"14-04-2017 08:57:24";"88";"No Cancelado"
"111143169";"118595827";111143169;"14-04-2017 08:00:22";"22593";"No Cancelado"
"111093492";"118595870";111093492;"14-04-2017 08:44:55";"1";"No Cancelado"
"111107484";"118595876";111107484;"14-04-2017 08:45:25";"1";"No Cancelado"
"111076281";"118595888";111076281;"14-04-2017 08:46:20";"106";"No Cancelado"
"111075055";"118595885";111075055;"14-04-2017 08:46:10";"106";"No Cancelado"
"111106740";"118595872";111106740;"14-04-2017 08:45:05";"1";"No Cancelado"
"111095321";"118595873";111095321;"14-04-2017 08:45:10";"1";"No Cancelado"
"111076613";"118595868";111076613;"14-04-2017 08:44:45";"10";"No Cancelado"
"111106751";"118595877";111106751;"14-04-2017 08:45:30";"1";"No Cancelado"
"105782865";"118595881";111104134;"14-04-2017 08:45:50";"106";"No Cancelado"
"20170412003293766539";"118595865";111076711;"14-04-2017 08:44:30";"10";"No Cancelado"
"111107256";"118596026";111107256;"14-04-2017 10:23:40";"20";"No Cancelado"
"111085860";"118595843";111085860;"14-04-2017 08:41:50";"9";"No Cancelado"
"111109659";"118595955";111109659;"14-04-2017 08:57:54";"88";"No Cancelado"
"111084953";"118596014";111084953;"14-04-2017 10:22:14";"20";"No Cancelado"
"111080668";"118595889";111080668;"14-04-2017 08:46:25";"108";"No Cancelado"
"111113151";"118595904";111113151;"14-04-2017 08:51:58";"89";"No Cancelado"
"111076617";"118595893";111076617;"14-04-2017 08:46:45";"123";"No Cancelado"
"111075414";"118595891";111075414;"14-04-2017 08:46:35";"106";"No Cancelado"
"111104673";"118595882";111104673;"14-04-2017 08:45:55";"106";"No Cancelado"
"111106252";"118595883";111106252;"14-04-2017 08:46:00";"106";"No Cancelado"
"111099120";"118595895";111099120;"14-04-2017 08:46:55";"123";"No Cancelado"
"111095217";"118595896";111095217;"14-04-2017 08:51:18";"89";"No Cancelado"
"111085153";"118596018";111085153;"14-04-2017 10:22:34";"20";"No Cancelado"
"111095527";"118596017";111095527;"14-04-2017 10:22:29";"20";"No Cancelado"
"111089319";"118596021";111089319;"14-04-2017 10:22:50";"20";"No Cancelado"
"111088332";"118596022";111088332;"14-04-2017 10:22:59";"20";"No Cancelado"
"111095838";"118596025";111095838;"14-04-2017 10:23:15";"20";"No Cancelado"
"111103199";"118595857";111103199;"14-04-2017 08:43:00";"37";"No Cancelado"
"111080093";"118595845";111080093;"14-04-2017 08:42:00";"9";"No Cancelado"
"111088769";"118595840";111088769;"14-04-2017 08:41:34";"9";"No Cancelado"
