RELNUM;POMUMB;INUMBR;RELBL5;CANTIDAD_COMP1;CANTIDAD_COMP2;FECHA_INGRESO;
1.14007208E8;575237.0;2.00232E8;120775693;1;1;20170913
1.14008544E8;575295.0;7.6374701E8;120775752;1;1;20170913
1.14000648E8;575005.0;6.1304902E8;120769900;1;1;20170913
1.13998032E8;574942.0;1.25767E8;120767589;1;1;20170913
1.14007104E8;575201.0;1.87214E8;120775657;1;1;20170913
1.140038E8;575092.0;3.86607008E8;120773707;1;1;20170913
1.13984464E8;574674.0;4.87948992E8;120761212;1;1;20170913
1.14000424E8;575196.0;9.91376E8;120775652;1;1;20170913
1.14009096E8;575208.0;2.05381008E8;120775664;1;1;20170913
1.1399196E8;574848.0;7.4915603E8;120766506;1;1;20170913
1.13999648E8;574997.0;2.00232E8;120769892;1;1;20170913
1.14001248E8;575210.0;1.18103E8;120775666;1;1;20170913
1.139858E8;574837.0;2.00232E8;120766495;1;1;20170913
1.1400816E8;575211.0;8.35304E8;120775667;1;1;20170913
1.13993888E8;574846.0;3.39815008E8;120766504;1;1;20170913
1.14002624E8;575279.0;1.54854992E8;120775736;1;1;20170913
1.13995136E8;574873.0;3.99211008E8;120766532;1;1;20170913
1.14003272E8;575205.0;1.8535E8;120775661;1;1;20170913
1.13988784E8;574864.0;2.16004E8;120766523;1;1;20170913
1.1387564E8;574699.0;2.0202E8;120761437;1;1;20170913
1.13996216E8;574834.0;4.06592E8;120766492;1;1;20170913
1.13985032E8;574676.0;3.54083008E8;120761214;1;1;20170913
1.13992224E8;574788.0;1.18103E8;120764126;1;1;20170913
1.14009464E8;575241.0;3.54401984E8;120775698;1;1;20170913
1.14006896E8;575100.0;7.3921402E8;120773715;1;1;20170913
1.13751312E8;575166.0;1.18149E8;120774788;1;1;20170913
1.1398144E8;574853.0;1.18159E8;120766511;2;2;20170913
1.13993936E8;574843.0;3.39815008E8;120766501;1;1;20170913
1.1399996E8;575212.0;6.9564102E8;120775668;1;1;20170913
1.13996088E8;574868.0;1.03391E8;120766527;1;1;20170913
1.13997728E8;574994.0;6.8677402E8;120769889;1;1;20170913
1.1400764E8;575193.0;1.24399E8;120775649;1;1;20170913
1.13984024E8;574652.0;7.4915603E8;120761190;1;1;20170913
1.14007112E8;575221.0;4.83615008E8;120775677;2;2;20170913
1.13998504E8;575002.0;1.50503008E8;120769897;1;1;20170913
1.13995728E8;574872.0;1.26734E8;120766531;1;1;20170913
2.0170912E19;575244.0;8.3511302E8;120775701;1;1;20170913
1.1400684E8;575093.0;6.8124602E8;120773708;1;1;20170913
1.13868352E8;574646.0;9.3879398E8;120761175;1;1;20170913
1.13992456E8;574862.0;3.39813984E8;120766521;1;1;20170913
1.14007184E8;575253.0;1.61355008E8;120775710;1;1;20170913
1.13986336E8;574842.0;8.0529197E8;120766500;1;1;20170913
1.14004608E8;575245.0;7.4915603E8;120775702;1;1;20170913
1.13999936E8;575223.0;1.33694E8;120775679;1;1;20170913
1.13998768E8;575269.0;5.3464E8;120775726;1;1;20170913
1.14004944E8;575102.0;3.21116992E8;120773717;1;1;20170913
1.13984984E8;574653.0;4.67833984E8;120761191;1;1;20170913
1.13998192E8;574953.0;5.4204602E8;120767600;1;1;20170913
1.1400592E8;575281.0;4.49742016E8;120775738;1;1;20170913
1.14000416E8;575183.0;8.9048E8;120775639;1;1;20170913
1.13992304E8;574792.0;1.22766E8;120764130;1;1;20170913
1.14002424E8;575051.0;9.3535098E8;120771887;1;1;20170913
1.14005936E8;575277.0;3.76072E8;120775734;1;1;20170913
2.0170912E19;575261.0;6.9568902E8;120775718;1;1;20170913
1.1400216E8;575049.0;3.30296E8;120771885;1;1;20170913
1.13996848E8;574955.0;4.18875008E8;120767602;1;1;20170913
1.14009488E8;575243.0;4.67833984E8;120775700;1;1;20170913
1.14007616E8;575172.0;5.7860102E8;120775627;1;1;20170913
1.13984224E8;574656.0;5.34828E8;120761194;1;1;20170913
1.14008968E8;575238.0;8.9765402E8;120775694;1;1;20170913
1.13998344E8;575173.0;1.18116E8;120775628;1;1;20170913
1.13996288E8;574914.0;4.18875008E8;120766573;1;1;20170913
1.1397944E8;574781.0;1.59732E8;120763728;1;1;20170913
1.14008992E8;575290.0;5.8289702E8;120775747;1;1;20170913
1.1400384E8;575246.0;3.39815008E8;120775703;1;1;20170913
1.13983008E8;574642.0;7.5174899E8;120760123;1;1;20170913
1.1400744E8;575257.0;3.54808992E8;120775714;1;1;20170913
1.14005544E8;575207.0;3.39828E8;120775663;2;2;20170913
1.14003712E8;575187.0;3.39839008E8;120775643;1;1;20170913
1.1400224E8;575046.0;4.529E8;120771882;2;2;20170913
1.1399568E8;574845.0;1.18103E8;120766503;1;1;20170913
1.13985168E8;574669.0;1.00544E8;120761207;1;1;20170913
1.13998776E8;575274.0;5.7858003E8;120775731;1;1;20170913
1.14007632E8;575214.0;6.8124602E8;120775670;1;1;20170913
2.0170912E19;574880.0;9.3879501E8;120766539;1;1;20170913
1.13998088E8;574949.0;4.18422016E8;120767596;1;1;20170913
1.14000416E8;575183.0;8.9047898E8;120775639;1;1;20170913
1.14003264E8;575042.0;6.8106202E8;120771878;1;1;20170913
1.13867184E8;574647.0;1.87214E8;120761177;1;1;20170913
1.14007984E8;575263.0;9.8911802E8;120775720;1;1;20170913
1.14008256E8;575264.0;7.4909702E8;120775721;1;1;20170913
1.13996824E8;575216.0;1.61355008E8;120775672;1;1;20170913
1.13797632E8;574720.0;2.52229008E8;120762081;1;1;20170913
1.14010616E8;575305.0;7.7487501E8;120775762;1;1;20170913
